ts_run,run_id,strategy,version,rank,score,equity_final,max_dd,sharpe,win_rate
2026-05-07 00:01:41.368623+00:00,TrendFollowing_v2.0_EURUSD_1,TrendFollowing,v2.0,1.0,12.812333333333333,16166.74,0.95,24.83,0.57
2026-05-07 00:01:41.368623+00:00,TrendFollowing_v2.1_EURUSD_2,TrendFollowing,v2.1,2.0,11.581333333333333,14843.19,1.6,22.44,0.64
2026-05-07 13:05:17.353664+00:00,TrendFollowing_v2.0_EURUSD_1,TrendFollowing,v2.0,1.0,12.812333333333333,16166.74,0.95,24.83,0.57
2026-05-07 13:05:17.353664+00:00,TrendFollowing_v2.1_EURUSD_2,TrendFollowing,v2.1,2.0,11.581333333333333,14843.19,1.6,22.44,0.64
2026-05-07 13:17:09.916051+00:00,TrendFollowing_v2.0_EURUSD_1,TrendFollowing,v2.0,1.0,12.812333333333333,16166.74,0.95,24.83,0.57
2026-05-07 13:17:09.916051+00:00,TrendFollowing_v2.1_EURUSD_2,TrendFollowing,v2.1,2.0,11.581333333333333,14843.19,1.6,22.44,0.64
2026-05-07 13:18:52.453278+00:00,TrendFollowing_v2.0_EURUSD_1,TrendFollowing,v2.0,1.0,12.812333333333333,16166.74,0.95,24.83,0.57
2026-05-07 13:18:52.453278+00:00,TrendFollowing_v2.1_EURUSD_2,TrendFollowing,v2.1,2.0,11.581333333333333,14843.19,1.6,22.44,0.64
2026-05-07 13:22:30.887302+00:00,x,a,1,1,10,100,0.5,2,0.6
